,0,1,2,3,4,5,6,status,Run,n_Mechanics,n_Vans,Response,Replace
3,2019-11-29 03:27:00.000000,2019-11-29 03:27:30.000000,2019-11-29 03:44:40.229721,2019-11-29 03:45:10.229721,2019-11-29 04:18:17.556817,2019-11-29 04:18:47.556817,2019-11-29 04:33:20.277875,Replace,5,40,40,0 days 00:00:30.000000000,1060229721000
4,2019-11-29 04:33:00.000000,2019-11-29 04:33:50.000000,2019-11-29 04:44:17.232563,2019-11-29 04:45:07.232563,2019-11-29 05:44:22.684775,2019-11-29 05:45:12.684775,2019-11-29 05:58:05.276078,Replace,5,40,40,0 days 00:00:50.000000000,677232563000
5,2019-11-29 05:46:00.000000,2019-11-29 05:46:30.000000,2019-11-29 06:02:34.064925,2019-11-29 06:03:04.064925,2019-11-29 06:30:00.372482,2019-11-29 06:30:30.372482,2019-11-29 06:45:26.889992,Replace,5,40,40,0 days 00:00:30.000000000,994064925000
6,2019-11-29 06:51:00.000000,2019-11-29 06:51:25.000000,2019-11-29 07:10:23.750107,2019-11-29 07:10:48.750107,2019-11-29 07:36:15.213201,2019-11-29 07:36:40.213201,2019-11-29 07:55:09.790924,Replace,5,40,40,0 days 00:00:25.000000000,1163750107000
7,2019-11-29 08:00:00.000000,2019-11-29 08:00:45.000000,2019-11-29 08:15:34.861486,2019-11-29 08:16:19.861486,2019-11-29 08:44:19.083127,2019-11-29 08:45:04.083127,2019-11-29 09:02:12.300795,Replace,5,40,40,0 days 00:00:45.000000000,934861486000
8,2019-11-29 09:21:00.000000,2019-11-29 09:21:45.000000,2019-11-29 09:37:48.854763,2019-11-29 09:38:33.854763,2019-11-29 10:03:52.792979,2019-11-29 10:04:37.792979,2019-11-29 10:25:02.680227,Replace,5,40,40,0 days 00:00:45.000000000,1008854763000
9,2019-11-29 10:33:00.000000,2019-11-29 10:33:35.000000,2019-11-29 10:51:55.978814,2019-11-29 10:52:05.322258,,,,Onsite,5,40,40,0 days 00:00:35.000000000,
10,2019-11-29 11:42:00.000000,2019-11-29 11:42:45.000000,2019-11-29 11:53:31.821457,2019-11-29 11:53:40.316656,,,,Onsite,5,40,40,0 days 00:00:45.000000000,
11,2019-11-29 12:36:00.000000,2019-11-29 12:36:55.000000,2019-11-29 12:52:45.689760,2019-11-29 12:53:40.689760,2019-11-29 13:31:16.931597,2019-11-29 13:32:11.931597,2019-11-29 13:43:57.668778,Replace,5,40,40,0 days 00:00:55.000000000,1005689760000
12,2019-11-29 13:47:00.000000,2019-11-29 13:47:30.000000,2019-11-29 14:02:22.201052,2019-11-29 14:02:49.241803,,,,Onsite,5,40,40,0 days 00:00:30.000000000,
13,2019-11-29 14:48:00.000000,2019-11-29 14:48:45.000000,2019-11-29 15:04:22.728931,2019-11-29 15:04:30.996711,,,,Onsite,5,40,40,0 days 00:00:45.000000000,
14,2019-11-29 15:55:00.000000,2019-11-29 15:55:30.000000,2019-11-29 16:11:56.476173,2019-11-29 16:12:26.476173,2019-11-29 17:03:09.024693,2019-11-29 17:03:39.024693,2019-11-29 17:22:49.013654,Replace,5,40,40,0 days 00:00:30.000000000,1016476173000
15,2019-11-29 16:46:00.000000,2019-11-29 16:46:25.000000,2019-11-29 17:03:18.330668,2019-11-29 17:03:43.330668,2019-11-29 17:43:08.152072,2019-11-29 17:43:33.152072,2019-11-29 18:03:06.735281,Replace,5,40,40,0 days 00:00:25.000000000,1038330668000
16,2019-11-29 17:51:00.000000,2019-11-29 17:51:45.000000,2019-11-29 18:06:36.114027,2019-11-29 18:07:21.114027,2019-11-29 18:38:19.635100,2019-11-29 18:39:04.635100,2019-11-29 18:55:51.213812,Replace,5,40,40,0 days 00:00:45.000000000,936114027000
17,2019-11-29 18:52:00.000000,2019-11-29 18:52:45.000000,2019-11-29 19:10:25.755594,2019-11-29 19:10:39.602813,,,,Onsite,5,40,40,0 days 00:00:45.000000000,
18,2019-11-29 19:49:00.000000,2019-11-29 19:49:35.000000,2019-11-29 20:01:30.274509,2019-11-29 20:02:05.274509,2019-11-29 20:27:55.182478,2019-11-29 20:28:30.182478,2019-11-29 20:44:02.963044,Replace,5,40,40,0 days 00:00:35.000000000,750274509000
19,2019-11-29 20:41:00.000000,2019-11-29 20:41:45.000000,2019-11-29 21:02:44.778966,2019-11-29 21:03:29.778966,2019-11-29 21:32:14.607502,2019-11-29 21:32:59.607502,2019-11-29 21:49:41.808497,Replace,5,40,40,0 days 00:00:45.000000000,1304778966000
